titleId,level_1,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,title,averageRating,numVotes,director_name,budget,length,genres,director_rating,average_writer_rating
tt2795326,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mindfulness Meditations for Anxiety,6.0,6,Ira Israel,50000.0,80.0,['Documentary'],613037.0,613037.0
tt2797102,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Bondage,9.4,5,Charles Ancelle,5000.0,8.0,"['Short', 'Action', 'Comedy']",1152444.0,1152444.0
tt2797352,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Hidden Agenda,5.6,200,Aaron Warren,100000.0,91.0,"['Action', 'Crime', 'Mystery']",421809.0,4808216.5
tt2797642,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,The Night Visitor,4.3,106,Jennifer Blanc-Biehn,100000.0,91.0,"['Horror', 'Sci-Fi', 'Thriller']",7648.0,961623.6666666665
tt2797844,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Aissa's Story,7.6,5,Iquo B. Essien,15000.0,15.0,"['Short', 'Drama']",569028.0,569028.0
tt2798182,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,The Knights of Shame,8.6,13,Steve Avon,6000.0,82.0,"['Crime', 'Drama', 'Thriller']",5910575.0,5910575.0
tt2799166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,The Pyramid,4.6,23327,Grégory Levasseur,6500000.0,89.0,"['Horror', 'Mystery', 'Thriller']",108112.0,456983.0
tt2800964,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All of Me,7.5,17,Alexandra Lescaze,300000.0,54.0,"['Documentary', 'Drama']",1313463.0,1313463.0
tt2801736,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ever,6.8,163,Josh Beck,12000.0,97.0,"['Drama', 'Romance']",333546.0,333546.0
tt2801944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Jérémy Amelin Feat. Angelika: Oh, Oh!",9.2,6,Kayden Boche,100000.0,3.0,"['Short', 'Music']",6268700.0,6268700.0
